DateKey,Date,Day,WeekNo,Month,MonthNo,Quarter,Year
20190101,2019-01-01,Tue,1,Jan,1,1,2019
20190102,2019-01-02,Wed,1,Jan,1,1,2019
20190103,2019-01-03,Thu,1,Jan,1,1,2019
20190104,2019-01-04,Fri,1,Jan,1,1,2019
20190105,2019-01-05,Sat,1,Jan,1,1,2019
20190106,2019-01-06,Sun,2,Jan,1,1,2019
20190107,2019-01-07,Mon,2,Jan,1,1,2019
20190108,2019-01-08,Tue,2,Jan,1,1,2019
20190109,2019-01-09,Wed,2,Jan,1,1,2019
20190110,2019-01-10,Thu,2,Jan,1,1,2019
20190111,2019-01-11,Fri,2,Jan,1,1,2019
20190112,2019-01-12,Sat,2,Jan,1,1,2019
20190113,2019-01-13,Sun,3,Jan,1,1,2019
20190114,2019-01-14,Mon,3,Jan,1,1,2019
20190115,2019-01-15,Tue,3,Jan,1,1,2019
20190116,2019-01-16,Wed,3,Jan,1,1,2019
20190117,2019-01-17,Thu,3,Jan,1,1,2019
20190118,2019-01-18,Fri,3,Jan,1,1,2019
20190119,2019-01-19,Sat,3,Jan,1,1,2019
20190120,2019-01-20,Sun,4,Jan,1,1,2019
20190121,2019-01-21,Mon,4,Jan,1,1,2019
20190122,2019-01-22,Tue,4,Jan,1,1,2019
20190123,2019-01-23,Wed,4,Jan,1,1,2019
20190124,2019-01-24,Thu,4,Jan,1,1,2019
20190125,2019-01-25,Fri,4,Jan,1,1,2019
20190126,2019-01-26,Sat,4,Jan,1,1,2019
20190127,2019-01-27,Sun,5,Jan,1,1,2019
20190128,2019-01-28,Mon,5,Jan,1,1,2019
20190129,2019-01-29,Tue,5,Jan,1,1,2019
20190130,2019-01-30,Wed,5,Jan,1,1,2019
20190131,2019-01-31,Thu,5,Jan,1,1,2019
20190201,2019-02-01,Fri,5,Feb,2,1,2019
20190202,2019-02-02,Sat,5,Feb,2,1,2019
20190203,2019-02-03,Sun,6,Feb,2,1,2019
20190204,2019-02-04,Mon,6,Feb,2,1,2019
20190205,2019-02-05,Tue,6,Feb,2,1,2019
20190206,2019-02-06,Wed,6,Feb,2,1,2019
